,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
50,Aruba,ABW,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Aruba,ABW,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268747069,0.2349547677,0.2387775845,0.1951343194,0.1832405399,0.1733717333,0.1674742846,0.1600958673,0.1578756908,0.1609276381,0.1753000021,0.1805000007,0.181400001,0.1845999956,0.1870999932,0.1865999997,0.1898999959,0.1899999976,0.1934999973,0.2998000085,5.464700222,5.661799908,6.855899811,6.889699936,6.927499771,6.728000164,6.994599819,6.699299812,8.024100304,,
54,Aruba,ABW,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.15365601,99.1971283,99.23991394,100.0,100.0,100.0,100.0,100.0,100.0,91.660398,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.35629215,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
64,Aruba,ABW,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Aruba,ABW,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2
68,Aruba,ABW,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07036754,,,,,,,,,,7.07036754,,,,,,,,,,7.07036754,,,,,,,,,,
73,Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
75,Aruba,ABW,Agricultural land (sq. km),AG.LND.AGRI.K2,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,
80,Africa Eastern and Southern,AFE,Population growth (annual %),SP.POP.GROW,,2.539822045,2.575181508,2.606838848,2.633212739,2.656488448,2.677083885,2.699647065,2.728246267,2.764599588,2.805011552,2.8445072,2.878912731,2.906277693,2.926069128,2.939789098,2.950883794,2.960983318,2.966164408,2.972448928,2.974336132,2.970647776,2.965383802,2.965635553,2.975572595,2.986493217,2.997632811,3.001095388,2.987171897,2.956404812,2.913058531,2.871078331,2.832013496,2.791294245,2.751373997,2.710420057,2.673851161,2.642958904,2.621264387,2.612969847,2.612275506,2.614605363,2.619585878,2.629364121,2.64581128,2.666015223,2.685749124,2.703187833,2.7200228,2.734577761,2.74740956,2.756619249,2.763425798,2.761495568,2.750400213,2.73259764,2.712217978,2.690901728,2.665619539,2.636666337,2.605427487
88,Africa Eastern and Southern,AFE,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.972222222,2.961111111,2.961111111,2.944444444,2.95,2.933333333,2.916666667,2.868421053,2.847368421,2.927777778,2.911111111,2.916666667,2.836842105,2.877777778,2.789473684,2.768421053
96,Africa Eastern and Southern,AFE,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.645670807,,,,,,,,,,0.6848243403,,,,,,,,,,0.7049827222,,,,,,,,,,
99,Africa Eastern and Southern,AFE,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Africa Eastern and Southern,AFE,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,316355.1448,204036.1407,215244.8763,230103.8203,200117.7594,230850.3545,212867.1892,242567.1492,245727.4069,308081.4551,275309.9689,240382.1759,270046.0801,264398.0678,217867.8499,215743.0853,210116.1744,267243.991,205320.3594,229784.4551,209670.0,209330.0,212110.0,211680.0,214300.0,214790.0,212410.0,210570.0,219470.0,215020.0,211260.0,210450.0,224400.0,229140.0,231320.0,239810.0,233690.0,249430.0,257080.0,256110.0,267280.0,272840.0,275740.0,274830.0,276360.0,279960.0,284380.0,286140.0,286710.0,,
107,Africa Eastern and Southern,AFE,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,384746.7182,265076.7091,278192.0872,296153.8053,269903.4576,303388.4675,286699.8136,319345.1963,327883.6744,396278.3059,359098.5521,327764.3155,361468.6268,359525.6917,313396.086,317176.2149,314774.5605,376226.647,313076.9568,341636.5722,330740.0,331400.0,337860.0,338280.0,344760.0,350310.0,352330.0,357750.0,374740.0,377590.0,377850.0,382600.0,405520.0,417940.0,426540.0,443630.0,444700.0,472630.0,491160.0,496350.0,515480.0,523850.0,534240.0,538060.0,543720.0,554570.0,563050.0,564380.0,570040.0,,
110,Africa Eastern and Southern,AFE,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,2512439.361,1654419.449,1738184.787,1853504.142,1678932.253,1908922.17,1770472.899,1969867.575,2018168.247,2508419.488,2213255.337,2001074.47,2197200.83,2191273.179,1543268.531,1559561.233,1479619.566,1928433.869,1463300.209,1614576.372,838050.0,842590.0,848740.0,855350.0,870920.0,895540.0,905810.0,926000.0,960820.0,945540.0,948360.0,991070.0,1040470.0,1083510.0,1126950.0,1154760.0,1159200.0,1227540.0,1288080.0,1276100.0,1335490.0,1342560.0,1381860.0,1406900.0,1436410.0,1436770.0,1457530.0,1471620.0,1478910.0,,
112,Africa Eastern and Southern,AFE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,1587419.453,962644.8691,1013296.704,1074440.171,949134.9734,1101878.99,984931.8485,1119055.278,1176444.985,1529059.238,1293217.179,1138988.142,1279080.966,1289548.543,1032199.443,1043607.774,969010.5281,1294200.334,954367.2447,1053647.877,-23342.39655,-24323.73606,-29755.71562,-22821.26338,-23583.99622,-21069.70663,-24252.47034,-26831.09998,-23891.5332,-22184.44696,-20582.66296,29919.73966,27150.51747,22082.33366,28499.03649,16324.45955,15362.02719,18215.2631,24455.62422,27924.61692,42800.27079,48331.31989,72440.63354,70001.98666,73024.7117,68559.00421,73149.43151,,,,
120,Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,118545.9013,123758.9033,128093.8978,132810.3325,144345.3524,155803.7801,157932.2573,165066.0405,174004.8927,182939.9843,191243.3018,213550.9464,217837.9853,223290.2332,226298.37,231987.5087,240665.9833,246129.5118,250630.4364,268619.0944,280929.8942,308901.8061,329541.3846,344021.803,365909.7583,374516.7897,385101.671,388106.0476,404605.6778,401747.9479,309980.8254,304407.7236,300329.9719,306574.5771,312677.0287,330892.999,341412.3664,357963.1087,366634.4792,352429.2715,358460.6463,397075.6603,409057.1792,434533.1377,466883.2388,468365.6979,476590.2999,500147.1845,533634.5146,515682.5438,543808.6518,535604.3575,559333.8573,580510.925,601860.164,586385.004,592299.594,601323.3947,600351.1333,,
125,Africa Eastern and Southern,AFE,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,787.5350425,780.5364372,789.9315508,786.9288782,785.7922624,785.4310545,776.9036127,782.8026878,780.8923556,789.3843205,810.4668535,827.1870288,820.8754718,840.0919701,827.6259654,834.186776,837.8744062,844.1569301,810.5153685,788.2223282,789.6660921,743.4296098,749.9114463,750.6749256,760.2081283,757.074853,755.5890473,744.8620703,746.6611885,733.4215418,738.8224925,726.210303,739.6078351,756.9453596,748.0306638,742.2464095,755.7643599,780.1723698,766.243658,755.3710183,749.4021877,728.7212216,725.6681961,740.7663428,,,,,,
126,Africa Eastern and Southern,AFE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,486.2075028,519.6135937,543.3057648,569.5910978,589.995686,611.695099,617.0097901,636.2384726,671.806786,705.1474294,728.9399855,738.7570348,741.1176879,776.8300961,793.7825617,803.7633631,797.3120917,805.6252687,804.3083388,791.1228178,769.859816,733.3516811,728.1864123,730.0752309,741.6428918,819.860432,829.8259762,791.4469962,769.7954737,780.702624,743.916044,769.0808541,774.3341662,777.6720907,780.8510523,789.4878405,796.9019357,760.5768971,723.9149031,740.4176551,740.7416057,703.9084009,698.3699142,686.7280572,,,,,,
127,Africa Eastern and Southern,AFE,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.1343901,219.7662058,219.7929577,230.6144627,232.4807735,232.623121,225.3198143,222.7635941,221.577633,221.8688696,216.1281588,215.2734449,208.7418137,212.1676011,211.0552776,201.2829785,192.3298673,188.2880731,191.4566323,191.7815111,184.2984785,180.7011401,180.1348969,176.7913221,176.371706,,,,,,
128,Africa Eastern and Southern,AFE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.62596452,62.87631857,64.6365408,65.29167597,65.37976393,64.98250979,64.21866816,63.385625,64.10636535,65.16892741,65.13244465,65.56814485,64.57885431,64.10314478,63.21618045,62.50059645,62.20141964,61.41850851,61.89890528,61.25255409,62.56452862,62.29384156,61.10955435,60.46883801,60.80393366,61.0972641,,,,,
130,Africa Eastern and Southern,AFE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,,,,,,,,,,,,126000000.0,127000000.0,132000000.0,136000000.0,133000000.0,146000000.0,149000000.0,155000000.0,161000000.0,167000000.0,177000000.0,195000000.0,189000000.0,192000000.0,227000000.0,617000000.0,615000000.0,583000000.0,574000000.0,685000000.0,686000000.0,677000000.0,662000000.0,546000000.0,690000000.0,800000000.0,885000000.0,1090000000.0,1022000000.0,1301000000.0,1390000000.0,1220000000.0,1624000000.0,1902000000.0,1866000000.0,1972000000.0,1972000000.0,2188000000.0,2463000000.0,2692000000.0,2762000000.0,3058000000.0,3669000000.0,7687000000.0,10926000000.0,,,,,
137,Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.08600661,23.10317848,24.22343015,25.02318413,26.17633577,23.62149844,27.29943305,28.73795234,28.8137354,27.48306125,28.23337289,28.38183599,32.22402744,32.0464781,31.3235788,33.31216313,38.38043319,39.75420135,42.16824107,43.64066111,
140,Africa Eastern and Southern,AFE,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Africa Eastern and Southern,AFE,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4988232.4,4968316.114,4947640.628,4911134.742,4890838.856,4870542.97,4850247.084,4829951.198,4809655.312,4789359.426,5058895.14,4744578.076,4720092.612,4695607.148,4671121.684,4646636.22,4622150.756,4597665.292,4573179.828,4548694.364,4796590.6,4765400.98,4734211.36,4703021.74,4671832.12,4640642.5,4607876.1,4575901.2,4544314.78,4511676.2,4479395.0
144,Africa Eastern and Southern,AFE,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2056536105,,,,,,,,,,0.2072891912,,,,,,,,,,0.2052006888,,,,,,,,,,
149,Africa Eastern and Southern,AFE,Arable land (% of land area),AG.LND.ARBL.ZS,,4.735556095,4.789181944,4.9149649,4.96908273,5.025414471,5.054441307,5.074776491,5.119054716,5.18702999,5.280178254,5.337165969,5.39300573,5.401205401,5.42342651,5.471640576,5.492467741,5.483694093,5.570528611,5.5383859,5.523380501,5.519772646,5.518788686,5.546011594,5.547323541,5.715252807,5.747969495,5.748789462,5.777160324,5.839477825,5.814058845,5.827014325,5.857189115,5.877196313,5.897039517,5.910404981,5.924508415,5.953289261,5.940661768,6.021674519,6.032334091,6.046716315,6.124416399,6.282424062,6.435511751,6.528305474,6.562550907,6.629740712,6.84299718,7.000948984,7.072272441,7.716099367,8.144944192,8.189016222,8.246971987,8.249165286,8.253303447,8.23118076,8.247616272,,
151,Africa Eastern and Southern,AFE,Agricultural land (sq. km),AG.LND.AGRI.K2,,5326150.0,5322890.0,5327180.0,5323510.0,5320000.0,5323030.0,5324010.0,5328190.0,5334880.0,5344800.0,5360170.0,5365870.0,5366130.0,5367810.0,5371960.0,5374560.0,5374970.0,5385870.0,5381690.0,5380330.0,5391340.0,5391740.0,5396020.0,5395980.0,5417560.0,5425200.0,5428670.0,5434450.0,5445460.0,5313659.9,5207436.27,5224490.44,5057484.61,5072408.78,5083992.95,5097517.12,5117281.39,5135205.56,5164119.73,5185183.9,5200494.37,5215366.84,5243793.31,5279228.58,5294720.25,5309259.72,5324692.99,5356256.56,5380079.83,5398501.8,6392500.5,6459157.24,6477782.4,6497055.3,6505845.2,6515953.0,6521411.4,6532568.32,,
156,Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,,1.898498719,1.965804828,2.029830298,2.090207709,2.147638846,2.171068186,2.188164589,2.25448537,2.384674381,2.536743603,2.665128505,2.714538547,2.659056585,2.479516591,2.200731281,1.981388587,1.747747775,1.281715197,0.522282315,-0.4076581919,-1.39341634,-2.219779588,-2.712854086,-2.695381732,-2.20451624,-1.706755536,-1.127989402,0.1160079649,2.136295072,4.47695438,6.900124486,8.546107005,8.790896707,7.659795534,5.884278564,4.019477716,2.636501764,1.947343862,2.170428511,2.975057223,3.902804964,4.496718747,4.668343795,4.321559517,3.682699881,2.990523836,2.493830391,2.268273041,2.396978302,2.746614638,3.143105557,3.407600033,3.494591927,3.355602331,3.077053629,2.778034788,2.54783304,2.384309079,2.313073349,2.303812093
164,Afghanistan,AFG,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.2,2.2,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.6
172,Afghanistan,AFG,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Afghanistan,AFG,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.059290169,,,,,,,,,,,
181,Afghanistan,AFG,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,3042.2563,3006.1382,2530.158,2674.4041,2937.3182,3153.723,3265.633,3268.981,3272.918,3214.545,3275.026,3256.705,3327.323,3188.66,3062.1521,2862.5369,2516.9024,2677.1073,2772.0448,2771.307,3250.0,3290.0,3200.0,3200.0,2990.0,3060.0,3290.0,3590.0,3880.0,4150.0,3620.0,3220.0,3700.0,3840.0,3810.0,3970.0,4060.0,4250.0,4790.0,5320.0,5990.0,6610.0,7160.0,7720.0,8550.0,8590.0,9120.0,9450.0,8960.0,,
183,Afghanistan,AFG,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,10202.0,10201.5,9170.59,9403.54,9987.93,10476.6,10535.6,10455.9,10380.1,10176.2,10376.6,10304.8,10259.8,9858.04,9054.65,8308.71,7415.09,7485.19,7920.27,7465.04,8970.0,9070.0,8990.0,8890.0,8960.0,9140.0,9930.0,10600.0,11100.0,11870.0,10590.0,9360.0,11190.0,11480.0,11460.0,11670.0,14890.0,18100.0,22170.0,25430.0,30010.0,39480.0,48780.0,58130.0,67770.0,76590.0,78150.0,79610.0,81510.0,,
186,Afghanistan,AFG,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,14306.6163,14391.7782,13040.848,13535.7541,14945.9682,14574.164,14746.851,15247.281,15112.318,14923.075,15691.266,15810.335,15615.333,15322.53,14278.7921,13545.7369,12269.4624,12400.5073,12959.2948,12348.957,15180.0,15100.0,13630.0,13460.0,13270.0,13480.0,14440.0,15340.0,16100.0,16910.0,15080.0,13490.0,16090.0,16780.0,16520.0,17400.0,21040.0,24880.0,31540.0,36960.0,44910.0,58650.0,66750.0,74800.0,84620.0,93730.0,95370.0,97300.0,98920.0,,
188,Afghanistan,AFG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-679.915897,-584.266024,-365.0309814,-295.7562842,-67.27859047,-887.2323948,-824.0528984,-357.9534546,-2135.118274,-1357.840067,-328.3212045,-321.667406,-450.7822333,-419.1037006,-454.1072595,-170.0989893,-18.96353271,-119.1234045,97.03265808,84.75115906,935.0644073,765.9382629,-263.0768204,-325.7089996,-650.3169022,-1003.030754,-1066.260746,-1008.483524,-992.5396156,-1274.8111,-1556.072842,-1452.085331,-1189.82819,-1123.433636,-1604.836014,-1272.787895,-1163.728977,-381.2660675,613.0169792,1144.771751,2581.595875,5607.860027,3299.161961,714.056015,-416.5378494,-691.2025146,-1800.003578,,,,
196,Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,414.371,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2960.0,2740.0,1430.0,1360.0,1300.0,1250.0,1180.0,1100.0,1050.0,820.0,770.0,810.0,1100.0,1350.0,1130.0,1640.0,1940.0,2360.0,4390.0,6000.0,8670.0,12260.0,10450.0,8510.0,7810.0,7990.0,7390.0,7380.0,7440.0,,
201,Afghanistan,AFG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Afghanistan,AFG,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",EG.USE.COMM.GD.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.92453168,17.03644353,26.52162865,30.58566705,32.79625055,35.07564029,37.9457475,41.43260087,44.09433685,52.18577437,54.24319839,54.05500031,43.77119827,42.27610016,49.84320068,40.85919952,37.13729858,33.86259842,21.34370041,17.85040092,14.89900017,11.55910015,14.4048996,17.10499954,20.77029991,20.2737999,24.74029922,25.08279991,21.42270088,,
206,Afghanistan,AFG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.29526901,28.09996223,33.9016037,42.4,45.52068329,42.7,43.22201891,69.1,68.98294067,89.5,71.5,97.7,97.7,98.71562195,97.7,
216,Afghanistan,AFG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,,,327.0,,,
219,Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4
220,Afghanistan,AFG,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
